;sentimen;stemmed
86;0;demi nyaman para nasabah bsi telah luncur digital bsi lalau bsi mobile dan qris
87;0;salur zakat infaq sedekah dan wakaf dapat guna transformasi digital bank syariah indonesia dengan manfaat bsi mobile dan qris
88;0;transformasi digital bank syariah indonesia lalu bsi mobile dan qrish
89;0;salur zakat infaq sedekah dan wakaf dapat guna transformasi digital bank syariah indonesia dengan manfaat bsi mobile dan qris
90;0;transformasi digital bank syariah indonesia bsi lalu manfaat bsi mobile atau griss mudah urus masjid dalam kelola transaksi dan masyarakat dalam salur zakat infaq sedekah wakaf cara non tunai
91;0;transformasi digital bsi lalu manfaat bsi mobile dan kris mudah urus masjif dalam kelola transaksi amp masyarakat dalam salur masjid
92;0;transformasi digital bsi lalu manfaat mobile qris
93;0;bsi mobile mudah marsyarakat sekali ya
94;0;transformasi digital bsi lalu manfaat bsi mobile
95;0;manfaat fasilitas bsi mobile dan qris akan mudah sistem transaksi
96;0;bsi sudah laku transformasi digital lalu bsi mobile
97;0;transformasi digital bsi lalu pemanfaatab bsi mobile dan qris
98;0;makin mudah transformasi digital bsi lalu qris dan bsi mobile
99;1;bsi transformasi lalu manfaat bsi mobile dan qris mudah urus masjid kelola transaksi masyarakat dalam salur zakat manttul
100;1;guys guys transformasi digital bank syariah indonesia lalu manfaat bsi mobile dan cur itu bisa mudah urus masjid dalam olah banyak transaksi loh
101;1;bsi manfaat bsi mobile dan qris
102;1;bsi hasil manfaat bsi mobile dan qris untuk mudah layan kepada konsumen
103;1;bsi sudah manfaat fitur qris di bsi mobile untuk mudah masyarakat dalam zakat infaq sedekah
104;1;transformasi digital bsi lalu manfaat bsi mobile dan qris mudah urus masjid dalam kelola transaksi
105;1;transformasi digital bsi lalu manfaat bsi mobile dan qris
106;1;guna bsi mobile fan qris akan mudah salur zakat infak dan wakaf
107;1;transformasi digital yang laku bsi lalu manfaat bsi mobile dan qris mudah para urus masjid untuk kelola salur zakat
108;1;dari sisi kesiap bsi mobile bsi pasti terus tingkat layan jaring guna beri layan prima
109;1;bsi mobile beri mudah
110;1;sistem transformasi digital bsi lalu manfaat bsi mobile dan qris jadi lebih mudah banget nih
111;1;digitalisasi mudah masyarakat untuk sedekah lalu aplikasi bsi mobile
112;1;betul ini dengan manfaat bsi mobile dan qris dapat mudah urus masjid untuk kelola transaksi dalam salur zakat dan infaq
113;1;transformasi digital bsi telah lalu manfaat bsi mobile dan qris hal ini mudah gunung masjid dalam kelola transaksi dan masyarakat dalam serap zakat infaq sedekah dan wakaf cara nontunai
114;1;tuhh bukti kalo semua upaya bsi dalam buat nasabah nyaman beneran jadi masyarakatnasabah dapat rasa manfaat itu seperti lalu bsi mobile
115;1;lalu manfaat bsi mobile dan qris sekarang transformasi digital bsi mudah urus masjid dalam kelola transaksi cara nontunai lebih mudah terima kasih bsi
116;1;keren transformasi digital bsi lalu manfaat bsi mobile dan qris sekarang transformasi digital bsi mudah urus masjid dalam kelola transaksi cara nontunai lebih mudah terima kasih bsi
117;1;urus masjid sekarang sangat mudah untuk salur zakat ada bsi dengan qris dan mobile banking yang mudah zakat salur oleh urus masjid
118;-1;id belum kembali tadi pagi saya telpon call center dan bilang aju refund tidak bisa dari pihak mcd saya suruh untuk membuatpengaduan lalu aplikasi bsi mobile tetapi saat saya mau buat pengaduantidak bisa saya minta untuk hubung call center
119;-1;bsi mobile ngopo neh to iki
120;0;di bsi mobile apabila kakak kendala laku transaksi dengan guna jaring wifi maka kakak dapat guna jaring provider dan pasti jaring yang guna optimal ya kak mohon selalu jaga rahasia data pribadi dan pasti kakak hanya interaksi
121;0;assalamualaikum kak zainul mohon maaf atas ketidaknyamanannya kak kait dengan kendala yang alami sebut mohon pasti untuk aplikasi bsi mobile yang guna telah terupdate dengan guna versi baru untuk ios dan android ya kak namun apabila
122;0;jika teman teman ada yang dapat cashback dari qr bsi mobile boleh yaa reply jika memang dapat kuota dan ingin tambah silah
123;-1;tolong dong id kita butuh statement yg jelas kait promo mcd qr bsi mobile kita dari tgl sampai lebih dari hari kerja belum ada yang dapat cashbacknya dapat info ada kuota tapi di syarat dan tentu yang laku tidak ada poin sebut mohon jelas
124;-1;sama aku juga belummm dapet cashback dari qris bsi mobile
125;-1;infak lalu dapat bukti setor zakat bagai kurang pajak ptkp hubung layan baznas email layananmuzaki goid
126;1;mari tunai zakat dan infak anda lebih mudah dan amanah lalu bsi mobile cara buka aplikasi bsi mobile pilih bagi ziswaf pilih zakat infaq pilih baznas masuk nominal masuk pin atau zakat lalu
127;1;bank syariah indonesia catat minat nasabah guna bsi mobile roket dan jumlah transaksi tembus capai juga transaksi
128;1;lapor yang sampai dari bsi mobile estimasi proses di hari kerja sabtu minggu dan hari libur tidak hitung mohon selalu jaga rahasia data pribadi dan pasti kakak hanya interaksi dengan akun resmi media sosial bsi terverified
129;0;buat lapor transaksi dari aplikasi bsi mobile pada menu customer care lalu bsi call atau datang kantor cabang bsi dekat bawa buku tabung ktp asli dan kartu debit atm operasional kantor cabang bsi di senin jumat jam waktu tempat
130;0;bikin lapor kak lewat bsi mobile atau langsung telpon call centernya biar uang kembali
131;-1;kalau beneran gak masuk atau lama banget masuk arti fix untuk depan promo mcd ambil metode langsung potong jadi diskon aja ya via kartu debit bsi visa daripada mcd qris bsi mobile hasil gak masukmasuk dan jadi pikir kayak gin
132;-1;id saya mau transfer lewat bsi mobile tp telah saya ketik no rekening dan ngisi nominal keluar notify data kosong terus sudah saya ulang ber kali kali tetep begitu mohon bantu min penting ini buat kerja
133;0;assalamualaikum kak yogi mohon maaf atas ketidaknyamanannyamohon di cek kembali untuk beli token pln lalu aplikasi bsi mobile akan keluar resi transaksi resi dapat di cek pada menu inbox gambar kotak surat yang buka atau di email nasabah yang daftar
134;0;buat yg nyari kode referral buka rekening online bsi lewat apk bsi mobile bisa masukin kode ini yaa masuk kode nau dapet bonus saldo masingmasing
135;-1;gmna kabar cb mcd yg pake bsi mobile smpe hari ini pun belum smpe cb nya
136;0;lalu apabila kakak ingin tahu informasi lebih lanjut kait langkahlangkah tutup deposito lalu aplikasi bsi mobile kakak dapat hubung kami lalu dm ya
137;0;apabila kakak laku buka deposito lalu aplikasi bsi mobile maka tutup dapat laku lalu aplikasi bsi mobile cara langsung namun apabila buka laku lalu kantor cabang
138;0;id halo mau tanya untuk cashback promo mcd bayar lalu bsi mobile banking belum masuk ya sampe saat ini padahal sudah hari kerja
139;0;buzz dan sila buka aplikasi bsi mobile kembali dan laku transaksi beberapa saat depan ya kak pasti untuk jaring internet stabil tidak guna jaring wifi ya kak dan pasti juga untuk versi bsi mobile sudah baru
140;0;buzz assalamualaikum kak akhmad mohon maaf atas ketidaknyamanannya dapat kami informasi kait fasilitas bsi mobile saat ini pantau normal tidak ada kendala ya kak mohon kenan untuk laku restart handphone mode pesawat beberapa saat mode normal kembali
141;-1;id dari kemaren mobile banking bsi kok gak bisa pakai ya tulis habis waktu aq coba beberapa kali dalam beberapa jam tetep aja nggak bisa buka
142;-1;haloo admin id saya tanggal kemarin transaksi dengan qris bsi mobile nih harus dapat cashback kan yah ini sudah sesuai jam juga tapi kok belum masuk yaa
143;0;id potong ga saldo yang ada di rekening kalo iya buat aja dulu lapor di bsi mobile nya hati hati ya akun itu palsu yang baless
144;0;maaf ott yg waktu itu ikut promo mcd pake bsi mobile udh pada dapet cashbacknya kah yg aku belum
145;0;cek di bsi mobile aja nder atau di web resmi bsi untuk tau lokasi dekat bisa juga ke atm mandiri gratis soal narik di alfaindo kena biaya adminnya kalau ga salah
146;0;dear id saya milik nomor telfon yang hanya istri ortu dan mertua saja yang tahu dan nomor ini saya guna untuk nomor verifikasi bsi mobile banking sayang mungkin karena kasus bobol data nasabah bsi beberapa waktu lalu con
147;0;rizkys id download lagi aja kak bsi mobile nya klik sudah milik rekening terus aktivasi pastiin juga pake nomor hp yang daftar di rekening
148;0;tanya yang garap promo mcd pake bsi mobile cashbacknya udah masuk
149;0;id min mau nanya notifikasi bsi mobile kok ga ada di notif hp ya cuma suara doang pdhl mau liat waktu sholat brp menit lgi
150;-1;bener contoh bca mobile aku pake bca mobile sama mbanking bsi lebih sat set bca mobile tiap mau transaksi bsi mbankingnya ribet banyak pilih
151;-1;jambrett layan operasional kantor cabang bsi yaitu pada pukul sd pada hari senin jumat waktu tempat ya kak kakak juga bisa laku minta kartu atm lalu bsi mobile namun harus jenis kartu atm beda dengan jenis kartu atm yang kakak milik belum
152;-1;jambrett assalamualaikum kak kami turut prihatin atas kendala yang kakak alami kami informasi untuk perihal kartu atm yang hilang baik kakak dapat laku blokir kartu atm nya lalu bsi mobile jika ada atau bagai pilih dapat laku blokir dengan
153;0;assalamualaikum kak terima kasih untuk tanya nya ya kak kami informasi kait untuk akses bsi mobile di luar negeri mohon pasti jaring nya stabil dan roaming nya aktif ya kak
154;0;rizkys mohon pasti saat laku proses registrasi bsi mobile nomor handphone yang daftar ada di perangkat yang sama dengan aplikasi bsi mobile sim card ada di sim jaring internet yang guna stabil tidak guna wifi ya kak apabila kakak butuh
155;0;rizkys klik tuju untuk syarat dan tentu masuk data yang daftar di rekening nomor handphone nomor ktp tanggal lahir nomor rekening lalu klik lanjut masuk digit kode otp yang terima lalu sms input pin bsi mobile lalu klik lanjut
156;0;rizkys assalamualaikum kak adam terima kasih atas tari dengan fasilitas bank syariah indonesia kakak dapat laku aktivasi bsi mobile cara mandiri dengan langkah ikut buka aplikasi bsi mobile dan klik sudah milik rekening klik aktivasi
157;0;id saya baru beli hp bsi mobile nya mau dipindahin kesana gimana ya cara pas nanti registrasi ulang di hp baru
158;0;id saya baru beli hp bsi mobile nya mau dipindahin kesana gimana ya cara pas nanti registrasi ulang di hp baru
159;0;id min cara agar tetap bisa akses bsi mobile di luar negeri tanpa guna vpn
160;0;assalamualaikum kak yuni terima kasih atas tari pada produk bsi apabila yang maksud adalah harga jual ketika aju biaya mitraguna online di bsi mobile maka hal sebut rupa harga jual asset yang kakak guna ketika aju dan nominal
161;0;yang mau buka rekening bsi boleh masukin kode refferal ku ya tan kamu bakal dapet saldo rp thank you
162;-1;kabarin pls klo dah ada yg dpt tulis bsi mobile yaallah klo sampe hari selasa tgl oktober blm dpt juga gue marah bgt
163;0;assalamualaikum kak mail mohon maaf atas kendala yang jadi ya kak untuk aktivasi bsi mobile pasti aplikasi sudah dengan versi baru akses kamera sudah izin dan jaring data seluler sudah stabil serta pasti nomor handphone yang daftar masih aktif
164;0;id cek aja kak di bsi mobile atau web resmi bsi untuk lokasi kcnya kayak bakal ada deh kc dekat hati hati ya itu yang reply akun palsu
165;0;halo min id saya kemarin sempat beli pulsa lewat bsi mobile namun nyata provider kartu saya sedang alami error sehingga pulsa tidak masuk namun saldo saya sudah potong apakah ada mungkin untuk saldo kembali sesuai dengan jumlah yg potong
166;1;cara buka rekening bsi download aplikasi bsi mobile pilih opsi buka tabung pilih tabung easy wadiah pilih kartu debit gpn silver agar tidak ada biaya admin dan biaya kartu bulan kartu atm bisa antar ke rumah aktivasi mbanking bisa laku sendiri
167;1;pakai kode referral untuk buka rekening online bsi lewat via bsi mobile masuk kode sal akan dapat bonus saldo masingmasing bsi tabung easy wadiah setor awal cuma rb bebas biaya admin bulan pake kartu debit silver agar tidak kena biaya kartu
168;0;id min transfer va mandiri lewat bsi mobile gimana ya
169;0;id kenapa bsi mobile saya tidak bisa klik apa lama hari ini saya sudah coba install ulang restart hp clear cache tetap tidak bisa
170;1;dapat bukti setor zakat bagai kurang pajak ptkp hubung layan baznas whatspp email layananmuzaki goid
171;1;mari tunai sedekah anda lebih mudah dan amanah lalu bsi mobile cara buka aplikasi bsi mobile pilih bagi ziswaf pilih infak pilih baznas masuk nominal masuk pin atau lalu transfer ke rekening bsi an badan amil zakat nasional
172;0;id bisa kak bikin lapor dulu lewat bsi mobile hati sama akun palsu yang reply ya kak
173;1;cashback bsi mobile cair hari kerja anjay
174;1;terima kasih shopeepay amp bsi mobile buat cashbacknya hari ini bisa mukbang mukidi alias makdi alias mcd
175;0;info dong ada yg coba debit bsi dan qris bsi mobile dengan norek yg sama bisa dua atau salah satu
176;1;saya pake bsi mobile td bang
177;1;tinggal drive thru aja gw td qris kode bayar bsi mobile
178;0;yang pake bsi mobile buat garap mcd mending baru apk dulu dehh
179;0;iya qris bsi mobile
180;0;tanya garap promoan mcd pke mobile qris bsi bisa ga ya makasihh
181;-1;sama nder aku juga lewat bsi mobile belum masuk cb nya kalau lewat karti debit mastercard bri tadi langsung motong
182;0;tanya gais ada yang udah garap mcd pake bsi mobile kok sender udah pake tapi belum masuk ya cb nya apa udahan plss butuh info
183;1;baru banget tanya nih qris bsi mobile buat kartu gpn
184;1;itu mah kartu debit visa kali yang diskon potong kalo qris bsi mobile itu cashback
185;0;serius mau liat dm nya dong niat mau pake bsi mobile kartu gpn suami
186;0;kalo yang diskon hanya untuk via kartu debit visa hasanah card nah untuk yang cashback bisa pake qris bsi kakmobile banking
187;0;udah ada yang coba pake qris bsi tapi kartu gpn gaa liat potensi cashbacknya ga sih pake bsi mobile mau pake blu tapi aplikasi belum bisa buka dari tadi
188;0;arti bayar bsi mobileqris bsi bisa lewat kasir dan mesin ya kak
189;0;syop kalo kk mesan lewat mesin kasi tau aja mbak bilang mau garap diskon payment bsi mobile nanti dibantuin atau langsung kebahagian kasir kak
190;1;zakat di lazismu bisa guna fitur bagi ziswaf yang ada di aplikasi bsi mobile bantu korban konflik di palestina dan juga korban bencana manusia lain lalu link di bio ya sobat
191;-1;debit bri langsung potong octo mobile langsung cashback bsi mobile kaya agak lama soal masih bom masuk dari tadi pagi
192;0;df garap promo mcd bsi mobile itu pake yg scan qr apa kode bayar ya
193;-1;qris bsi mobile gabisa arti kak
194;1;gapernah buka bsi mobile sekali buka loh kok saldo banyak wkwkwk
195;-1;id gapunya kartu debit visa pake bsi mobile juga gabisa dong ya
196;0;harus dpt sihh kak soal gak ada terang harus pake bsi mobile dengan jenis kartu apa
197;0;tanyamau tanya dong guys promo mcd ini misal kita pake qris bsi mobile tapi kartu atm kita gpn itu tetep dapet cashback apa engga ya atau mau pake qris tetep harus visa kartu atmnya
198;0;kak itu kan satu akun per transaksi ya kalo misal aku make bsi debit visa dan bsi mobile tp msh akun gabisa ya mksdnya kartu bsi nya kan nyambung ke bsi mobile tapi transaksi pertama make debit visa trs transaksi dua nya make bsi mobile nya
199;0;min ingfoo dong kalo pake qris bsi mobile semua jenis card bisa gak harus visa kan id
200;0;bsi mobile banking brrti nunggu dulu apa sama ya kak kira kira
201;0;mjb bsimobile bisa ko kak
202;0;tapi kalo pake qris bsi mobile bisa kan kak
203;0;bsi card gpn tpi pake qris bsi mobile tetep diskon kan ya
204;0;pake bsi mobile
205;1;tanya transaksi mcd bsi kartu gpn kalau transaksi pakai qris mobile bisa kan pamerin dong yg udah bisa
206;0;mau dengan pilih menu aplikasi bsi mobile lalu saat izin pada akses kamera guna kamera dapat pilih izin ya kak apaila sudah pilih izin namun masih kendala mohon kenan untuk hubung kami lalu dm agar kami bantu laku kece
207;0;mau assalamualaikum kak sasa mohon maaf atas kendala yang alami kait tidak dapat akses qris pada bsi mobile mohon kenan untuk laku kece pada atur handphone
208;1;beli minimal ada cashback dan diskon bagi guna kartu debit bri mastercard bsi kreditvisa sinarmas utk qris bisa spay blu cimb octo mobile ya kak
209;1;syara id pake qris di bsi mobile aja kak kalau mauuu aku jg niat mau pake qris soal kartu debit aku jg gpn
210;0;syara id tapi trx lewat qris bsi mobile aja klo cuma punya kartu gpn
211;0;tapi aku liat di ig nya bisa kok bsi mobile
212;0;kalau bsi mobile bisa ga om
213;1;semua butuh perban penuh hanya dengan satu aplikasi bsi mobile yang praktis pakai seharihari
214;0;call center bsi ada gak id mau buka blokir pin mobile banking
215;1;alhamdulillah bsi mobile bisa haha
216;1;sedekah online baznas mari tunai sedekah anda lalu mobile banking ikut bsi mobile livin by mandiri bisa mobile muamalat din permata mobile mu maybank bca syariah mobile octo mobile bni mobile btn syariah mobile banking
217;0;bsimobile beneran bisa ga ya
218;1;klo aku dr bsi mobile udah otomatis ada sih
219;1;lah bukan qris bsi mobile bisa min nih ada snk bank bsi
220;1;rekening lalu bsi mobile dengan siap ktp asli dan npwp jika ada dan apabila kakak ingin laku buka rekening untuk non orang maka kakak dapat datang kantor cabang bsi dekat untuk proses
221;0;id bisa kak lewat bsi mobile hati ada akun palsu yang reply ya
222;0;sekarang udah masuk belum kalo belum mending buat lapor aja di bsi mobile biar kembali saldo
223;1;id bantu jawab bisa buat online via bsi mobile atau langsung ke kantor cabang kalo mau buat rekening cuma butuh ktp sama npwp kalo ada
224;0;assalamualaikum kak gunawan mohon maaf atas ketidaknyamanannya saat ini informasi untuk layan bsi mobile tidak dapat kendala dan dapat guna untuk transaksi dalam hal ini kait kendala yang alami mohon untuk pasti jaring yang guna
225;0;assalamualaikum kak mohon maaf atas ketidaknyamanannya kait kendala kakak sebut sila kakak pasti jaring yang guna stabil serta aplikasi bsi mobile yang guna telah laku update versi baru nomor handphone yang daftar sudah di sim
226;0;id minttt kok bsi mobile saya gak bisa transfer uang sih kenapa ya
227;0;mau assalamualaikum kak maul mohon maaf atas ketidaknyamanannya kait kendala qris pada aplikasi bsi mobile tidak dapat kakak guna sebut sila kakak laku konfirmasi lalu dm kami agar kami dapat bantu laku kece
228;-1;id min kenapa qris bsi mobile di hp saya tidak bisa
229;0;barusan bgt ada gopay masuk tulis top up dr bsi mobile nyasar kah atau gmn soal gue org dekat gaada yg pake bsi
230;1;email contactus coid akun resmi media sosial bsi mobile menu customer care terima kasih telah guna layan kami moga berkah dan sehat selalu wassalamualaikum wrwb airin
231;1;masuk pihak bsi serta laku ganti pin password dan kata sandi cara kala ikut layan resmi contact center bsi bank syariah indonesia call luar negeri live chat aisyah bsi mobile menu customer care
232;0;akun resmi media sosial bsi mobile menu customer care terima kasih telah guna layan kami moga berkah dan sehat selalu wassalamualaikum wrwb airin
233;0;password dan kata sandi cara kala ikut layan resmi contact center bsi bank syariah indonesia call luar negeri live chat aisyah bsi mobile menu customer care email contactus coid
234;0;id saran saya sih mending ke kantor cabang langsung aja kalo yang lewat bsi mobile tau saya itu untuk biaya mitraguna khusus pns atau payroll di bsi kak hati hati ya itu yang reply akun palsu
